Ref,Val,Package,PosX,PosY,Rot,Side
R4,100k,R_0603_1608Metric,5.100000,-14.285935,180.000000,top
R5,100k,R_0603_1608Metric,5.100000,-17.412781,180.000000,top
R6,100k,R_0603_1608Metric,5.100000,-20.510000,180.000000,top
R7,100k,R_0603_1608Metric,5.100000,-23.620000,180.000000,top
R8,100k,R_0603_1608Metric,5.100000,-26.760000,180.000000,top
R14,100k,R_0603_1608Metric,5.100000,-29.888373,180.000000,top
R15,100k,R_0603_1608Metric,5.100000,-33.020758,180.000000,top
R16,100k,R_0603_1608Metric,5.100000,-36.170000,180.000000,top
R1,1K,R_0603_1608Metric,18.000000,-21.629000,90.000000,top
R47,1K,R_0603_1608Metric,18.947682,-14.580000,-90.000000,top
R48,1K,R_0603_1608Metric,17.066319,-14.580000,-90.000000,top
R49,1K,R_0603_1608Metric,15.177136,-14.580000,-90.000000,top
R50,1K,R_0603_1608Metric,13.319486,-14.580000,-90.000000,top
R51,1K,R_0603_1608Metric,11.461836,-14.580000,-90.000000,top
R84,1M,R_0603_1608Metric,5.100000,-15.850000,0.000000,top
R85,1M,R_0603_1608Metric,5.100000,-18.950000,0.000000,top
R86,1M,R_0603_1608Metric,5.100000,-22.070000,0.000000,top
R87,1M,R_0603_1608Metric,5.100000,-25.190000,0.000000,top
R88,1M,R_0603_1608Metric,5.100000,-28.330000,0.000000,top
R89,1M,R_0603_1608Metric,5.100000,-31.470000,0.000000,top
R90,1M,R_0603_1608Metric,5.100000,-34.600000,0.000000,top
R91,1M,R_0603_1608Metric,5.100000,-37.760000,0.000000,top
R79,4.7k,R_0603_1608Metric,31.615000,-31.725000,90.000000,top
R80,4.7k,R_0603_1608Metric,33.520000,-31.725000,90.000000,top
C3,100n,C_0603_1608Metric,49.350000,-26.010000,180.000000,top
C5,100n,C_0603_1608Metric,13.190000,-25.080000,90.000000,top
C8,100n,C_0603_1608Metric,37.965000,-27.280000,180.000000,top
C1,10u,C_0805_2012Metric,15.740000,-43.899118,90.000000,top
C2,10u,C_0805_2012Metric,15.740000,-49.535439,90.000000,top
D1,BAT54SW,SOT-323_SC-70,8.500000,-15.080486,0.000000,top
D2,BAT54SW,SOT-323_SC-70,8.500000,-18.210416,0.000000,top
D3,BAT54SW,SOT-323_SC-70,8.500000,-21.340346,0.000000,top
D4,BAT54SW,SOT-323_SC-70,8.500000,-24.470276,0.000000,top
D5,BAT54SW,SOT-323_SC-70,8.500000,-27.600206,0.000000,top
D6,BAT54SW,SOT-323_SC-70,8.500000,-30.730136,0.000000,top
D7,BAT54SW,SOT-323_SC-70,8.500000,-33.860066,0.000000,top
D8,BAT54SW,SOT-323_SC-70,8.500000,-36.990000,0.000000,top
D30,BAT54SW,SOT-323_SC-70,7.920000,-94.590000,180.000000,top
D23,D_Schottky,D_SOD-123,13.200000,-52.075439,90.000000,top
D24,D_Schottky,D_SOD-123,13.200000,-41.359118,90.000000,top
L1,Ferrite_Bead,L_0603_1608Metric,15.740000,-53.345439,-90.000000,top
L2,Ferrite_Bead,L_0603_1608Metric,15.740000,-40.089118,90.000000,top
U1,4051,TSSOP-16_4.4x5mm_P0.65mm,46.810000,-29.820000,0.000000,top
U3,4021,TSSOP-16_4.4x5mm_P0.65mm,17.010000,-27.325000,90.000000,top
U6,PCA9685PW,TSSOP-28_4.4x9.7mm_P0.65mm,30.935000,-24.105000,-90.000000,top
